Trace
Swept SA
A.02.06,N9010A
78980020,-100.030813961345
78980020.5,-100.457976358347
78980021,-100.822083153096
78980021.5,-101.101611099086
78980022,-101.2389781059
78980022.5,-101.014576644535
78980023,-100.462745503952
78980023.5,-99.9532692039723
78980024,-99.5447762939341
78980024.5,-99.2014723741141
78980025,-98.9619789373249
78980025.5,-98.8094427530667
78980026,-98.720519471152
78980026.5,-98.7187977401994
78980027,-98.6988149150933
78980027.5,-98.5783358074659
78980028,-98.4200405255512
78980028.5,-98.271183898084
78980029,-98.1010721245659
78980029.5,-98.1401445950795
78980030,-98.5768712011968
78980030.5,-99.0779072424944
78980031,-99.2857270565211
78980031.5,-99.3160245177082
78980032,-99.2403742960766
78980032.5,-99.0224677665453
78980033,-98.8012503438786
78980033.5,-98.7391180471228
78980034,-98.7062170328862
78980034.5,-98.4379071769055
78980035,-97.9237143351963
78980035.5,-97.4478874844863
78980036,-97.0950250255846
78980036.5,-96.8364195700843
78980037,-96.7781555105755
78980037.5,-96.8915400007822
78980038,-96.7951763804106
78980038.5,-96.3483245530355
78980039,-95.877109475092
78980039.5,-95.6251018694502
78980040,-95.4833045252959
78980040.5,-95.3947624851692
78980041,-95.3753752860238
78980041.5,-95.3610120502715
78980042,-95.3238287752418
78980042.5,-95.2734433105312
78980043,-95.1758326712453
78980043.5,-95.0346144607697
78980044,-94.8973322019215
78980044.5,-94.7592592245208
78980045,-94.6540914601145
78980045.5,-94.7095951290599
78980046,-94.8330843678283
78980046.5,-94.5579550735757
78980047,-93.7775832496339
78980047.5,-92.9685620060191
78980048,-92.4352111452317
78980048.5,-91.9755171751315
78980049,-91.3972517320019
78980049.5,-90.7066496962045
78980050,-90.1607696128395
78980050.5,-89.9265503784647
78980051,-89.7258775646939
78980051.5,-89.6065112462024
78980052,-89.4473477174003
78980052.5,-87.0442434977743
78980053,-81.8564517858629
78980053.5,-75.4435359608287
78980054,-68.3112888383524
78980054.5,-60.6619936545942
78980055,-54.4349161177192
78980055.5,-49.5158791540717
78980056,-45.2500417337977
78980056.5,-41.4979300099084
78980057,-38.2724962543308
78980057.5,-35.4252344212318
78980058,-32.9937851269679
78980058.5,-30.8973408812207
78980059,-29.1340812629484
78980059.5,-27.684087664298
78980060,-26.519269268217
78980060.5,-25.6471587241442
78980061,-25.0478085489293
78980061.5,-24.7191339916136
78980062,-24.6589993657302
78980062.5,-24.8653120707606
78980063,-25.3423962739979
78980063.5,-26.0956611993176
78980064,-27.1224755018918
78980064.5,-28.4488726981227
78980065,-30.0663393981546
78980065.5,-32.0072474014147
78980066,-34.2944251229043
78980066.5,-36.9302101483633
78980067,-40.0088764178998
78980067.5,-43.482915644063
78980068,-47.5399268611196
78980068.5,-52.1064144675187
78980069,-57.4506395173462
78980069.5,-64.8069265466367
78980070,-74.4629269808321
78980070.5,-82.0754456151996
78980071,-85.7905118470772
78980071.5,-87.612000740733
78980072,-88.7349511173452
78980072.5,-88.8534787993165
78980073,-89.0502236225849
78980073.5,-89.4332258051723
78980074,-89.8314116833723
78980074.5,-90.2549761869408
78980075,-90.6947753787052
78980075.5,-91.1079578389542
78980076,-91.4579205901737
78980076.5,-92.0013103217446
78980077,-92.9475310115148
78980077.5,-94.0297034689115
78980078,-94.9834105674498
78980078.5,-95.8790189582666
78980079,-96.2723459541116
78980079.5,-95.904923540195
78980080,-95.3704832324075
78980080.5,-95.1675621854594
78980081,-95.0941054597287
78980081.5,-95.0824425809787
78980082,-95.1583968813176
78980082.5,-95.2121434874675
78980083,-95.0952372414552
78980083.5,-95.0023333257072
78980084,-95.1759130327873
78980084.5,-95.5624331574122
78980085,-96.0928292087849
78980085.5,-96.858916943025
78980086,-97.606915037354
78980086.5,-98.0388375928407
78980087,-98.2533724131571
78980087.5,-98.2255110065399
78980088,-97.8540313927035
78980088.5,-97.5216713781289
78980089,-97.5036238131271
78980089.5,-97.6468370523912
78980090,-97.8238695627891
78980090.5,-98.0522428886499
78980091,-98.2808397485978
78980091.5,-98.4914766690973
78980092,-98.6892125901729
78980092.5,-98.8763074449226
78980093,-99.0499736182824
78980093.5,-99.1212109981841
78980094,-99.0492553065985
78980094.5,-98.9482881591344
78980095,-98.9038542442434
78980095.5,-98.8689161106763
78980096,-98.7890049171793
78980096.5,-98.6482598996949
78980097,-98.5689734445129
78980097.5,-98.6214772831452
78980098,-98.7355696946093
78980098.5,-98.8215695609816
78980099,-98.8969033112633
78980099.5,-99.1308022378435
78980100,-99.6521979918784
78980100.5,-100.1518555559
78980101,-100.315776146463
78980101.5,-100.282787655428
78980102,-100.215316143442
78980102.5,-100.097026217729
78980103,-99.9859945255599
78980103.5,-99.93563802185
78980104,-99.9075442618227
78980104.5,-99.9172613319997
78980105,-99.9950267944449
78980105.5,-99.7150774087436
78980106,-99.0014173789429
78980106.5,-97.8487643720917
78980107,-96.0240983688669
78980107.5,-93.6576989130833
78980108,-91.483739484861
78980108.5,-89.5035014254143
78980109,-87.7531729389961
78980109.5,-86.3338010154864
78980110,-85.195661448764
78980110.5,-84.3282626648818
78980111,-83.7375504498651
78980111.5,-83.4165187517812
78980112,-83.3628697739603
78980112.5,-83.5718711571854
78980113,-84.0514183288061
78980113.5,-84.8049891669818
78980114,-85.8457999351906
78980114.5,-87.1756075051665
78980115,-88.7925604530111
78980115.5,-90.8088591655967
78980116,-93.0789853377072
78980116.5,-95.0948040649234
78980117,-96.940885529894
78980117.5,-98.3717264505233
78980118,-99.1880736905889
78980118.5,-99.5810256893612
78980119,-99.704485984751
78980119.5,-99.5142488331427
78980120,-99.293978520634
78980120.5,-99.0881282893267
78980121,-98.8757104144502
78980121.5,-98.6775750463833
78980122,-98.4998827155136
78980122.5,-98.45038953341
78980123,-98.520916449427
78980123.5,-98.7337190382893
78980124,-99.2059002713671
78980124.5,-99.7622585677098
78980125,-100.020476467213
78980125.5,-100.026474318253
78980126,-100.006522589126
78980126.5,-100.00342347732
78980127,-100.007507055872
78980127.5,-100.080362971335
78980128,-100.194013697248
78980128.5,-100.206485744392
78980129,-100.069373377383
78980129.5,-99.9357656688084
78980130,-99.9295537330078
78980130.5,-99.9708084027712
78980131,-99.9493390656919
78980131.5,-99.8586555647046
78980132,-99.8493158146927
78980132.5,-100.030686802065
78980133,-100.240929145499
78980133.5,-100.278847753461
78980134,-100.197937868221
78980134.5,-100.072250110388
78980135,-99.8634310985432
78980135.5,-99.7039593648081
78980136,-99.7303148326818
78980136.5,-99.8782060118569
78980137,-100.103458652861
78980137.5,-100.433924150936
78980138,-100.733002497754
78980138.5,-100.934370375529
78980139,-101.070042525708
78980139.5,-101.141136886497
78980140,-101.152826935997
78980140.5,-100.979790144521
78980141,-100.490036535219
78980141.5,-99.9834384545309
78980142,-99.7542556634246
78980142.5,-99.6929978279022
78980143,-99.7596347835597
78980143.5,-99.9742281824627
78980144,-100.240845286939
78980144.5,-100.548470658462
78980145,-100.84236813528
78980145.5,-100.874623587403
78980146,-100.650313175591
78980146.5,-100.552382494903
78980147,-100.737267112315
78980147.5,-101.016388042167
78980148,-101.259522926539
78980148.5,-101.503328050744
78980149,-101.691998996881
78980149.5,-101.808063825674
78980150,-101.904451538289
78980150.5,-102.077474837884
78980151,-102.220277300379
78980151.5,-102.025050621139
78980152,-101.471130556302
78980152.5,-100.932822716108
78980153,-100.564635708785
78980153.5,-100.248940529748
78980154,-99.9432004178459
78980154.5,-99.6582740152723
78980155,-99.3671095316982
78980155.5,-99.1591760643495
78980156,-98.7624204921332
78980156.5,-97.9689396195038
