x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+1.061098000E-03,-245.879407972E-03,+1.997992396E-03,-311.934661120E-03,-42.271289974E-03
+1.061099000E-03,-245.879407972E-03,-5.539695965E-03,-319.472349482E-03,-2.070285380E-03
+1.061100000E-03,-238.341719611E-03,-6.042208523E-03,-327.512550401E-03,-2.070285380E-03
+1.061101000E-03,-237.839207053E-03,+1.997992396E-03,-328.015062958E-03,-2.070285380E-03
+1.061102000E-03,-237.839207053E-03,+1.997992396E-03,-335.552751319E-03,-2.070285380E-03
+1.061103000E-03,-230.301518692E-03,+1.997992396E-03,-336.055263877E-03,-2.070285380E-03
+1.061104000E-03,-229.799006134E-03,+1.997992396E-03,-328.015062958E-03,-39.758727187E-03
+1.061105000E-03,-229.799006134E-03,+1.997992396E-03,-328.015062958E-03,-42.271289974E-03
+1.061106000E-03,-222.261317773E-03,+1.997992396E-03,-328.015062958E-03,-42.271289974E-03
+1.061107000E-03,-221.758805215E-03,+1.997992396E-03,-319.974862039E-03,-42.271289974E-03
+1.061108000E-03,-221.758805215E-03,-5.539695965E-03,-319.974862039E-03,-2.070285380E-03
+1.061109000E-03,-214.221116854E-03,-6.042208523E-03,-319.974862039E-03,-2.070285380E-03
+1.061110000E-03,-213.718604296E-03,-6.042208523E-03,-319.974862039E-03,-2.070285380E-03
+1.061111000E-03,-206.180915935E-03,-6.042208523E-03,-327.512550401E-03,-2.070285380E-03
+1.061112000E-03,-205.678403378E-03,+1.997992396E-03,-328.015062958E-03,-39.758727187E-03
+1.061113000E-03,-198.140715016E-03,+1.997992396E-03,-328.015062958E-03,-42.271289974E-03
+1.061114000E-03,-197.638202459E-03,+1.997992396E-03,-335.552751319E-03,-42.271289974E-03
+1.061115000E-03,-190.100514097E-03,+1.997992396E-03,-336.055263877E-03,-42.271289974E-03
+1.061116000E-03,-189.598001540E-03,+1.997992396E-03,-336.055263877E-03,-42.271289974E-03
+1.061117000E-03,-182.060313178E-03,+1.997992396E-03,-328.015062958E-03,-42.271289974E-03
+1.061118000E-03,-174.020112259E-03,+1.997992396E-03,-328.015062958E-03,-42.271289974E-03
+1.061119000E-03,-173.517599702E-03,+1.997992396E-03,-328.015062958E-03,-42.271289974E-03
