Trace
Swept SA
A.02.06,N9010A
76845062,-90.3572854242509
76850062,-90.6899858089095
76855062,-91.2035072354767
76860062,-90.8350665269892
76865062,-90.6485408568484
76870062,-90.9977111110867
76875062,-90.9224146432243
76880062,-90.8405147395562
76885062,-90.7085148514485
76890062,-90.5042774121865
76895062,-90.7275823553448
76900062,-90.7926906262751
76905062,-90.4003026698376
76910062,-90.3141566545639
76915062,-90.0351451972951
76920062,-90.3776971803716
76925062,-90.1479223354435
76930062,-89.5350648381274
76935062,-89.6428909909065
76940062,-90.8778770027886
76945062,-90.5791946645077
76950062,-90.1088349974771
76955062,-90.604062605183
76960062,-90.6353257701338
76965062,-90.2145867242775
76970062,-90.0822467324269
76975062,-90.5732826808377
76980062,-90.8431819574977
76985062,-90.7415121240857
76990062,-90.2981804019505
76995062,-90.5546293895277
77000062,-90.6660629078052
77005062,-90.7669434165772
77010062,-90.307510146449
77015062,-90.1566929899906
77020062,-89.9267671535877
77025062,-90.0125627105925
77030062,-90.1289201346451
77035062,-90.0862034213882
77040062,-89.5343462853975
77045062,-89.8551797396485
77050062,-89.8044504214884
77055062,-89.731755025812
77060062,-89.7861885540619
77065062,-89.9546312513467
77070062,-90.1361044866289
77075062,-89.2324795210799
77080062,-89.1328799966804
77085062,-90.4197834612533
77090062,-90.2782249746277
77095062,-89.7461154229062
77100062,-89.4354208281145
77105062,-89.2890768173534
77110062,-89.5778783510549
77115062,-89.6588099952241
77120062,-89.8558339428182
77125062,-89.5995432875357
77130062,-89.6267367615981
77135062,-89.2629020846679
77140062,-89.2119018282708
77145062,-89.095704516422
77150062,-89.3817561471722
77155062,-89.3798697744295
77160062,-88.9803128575655
77165062,-89.0226148937243
77170062,-88.8770592856904
77175062,-88.9892962559921
77180062,-88.627581763754
77185062,-88.8257226423848
77190062,-89.5680901175157
77195062,-89.2160901884473
77200062,-88.6184013286867
77205062,-88.9009508074522
77210062,-89.1634449628728
77215062,-89.3713209588639
77220062,-88.7291659537055
77225062,-89.0497436264152
77230062,-89.0527225332725
77235062,-88.7211237476724
77240062,-88.4815283025774
77245062,-88.7372973299745
77250062,-89.1078560017134
77255062,-88.5112588009998
77260062,-88.3627513517631
77265062,-88.3094512408177
77270062,-87.9806685451751
77275062,-87.8768340522741
77280062,-88.2339079184094
77285062,-88.4234021607105
77290062,-88.1731324377349
77295062,-87.8334019240331
77300062,-88.275801277293
77305062,-88.5517602179042
77310062,-88.1875432238117
77315062,-88.2730926645549
77320062,-88.0728386963082
77325062,-88.0718332216855
77330062,-88.0239289010879
77335062,-87.8848907953951
77340062,-88.5255815091426
77345062,-88.5414329580349
77350062,-87.9686809169949
77355062,-88.3006662955723
77360062,-87.4840371810245
77365062,-87.8715783110792
77370062,-87.6156121913429
77375062,-87.1331217079674
77380062,-87.4718148901129
77385062,-87.3739743367348
77390062,-87.7919739017774
77395062,-87.3068420787719
77400062,-87.1081075086469
77405062,-87.0938962949508
77410062,-86.9184908393806
77415062,-87.499363237498
77420062,-86.9456721180089
77425062,-86.4513659904889
77430062,-86.450886988963
77435062,-86.7678609916018
77440062,-87.271970315474
77445062,-86.6397019448839
77450062,-86.4988503743961
77455062,-86.3892012788819
77460062,-86.0712328788169
77465062,-85.4525063538362
77470062,-86.0371463585106
77475062,-87.0101452088072
77480062,-86.8697160777899
77485062,-85.8288622989121
77490062,-85.7340066298712
77495062,-85.7706845562229
77500062,-86.0519189963778
77505062,-85.6724863436571
77510062,-85.4879720277824
77515062,-85.1549872752424
77520062,-85.3096432788087
77525062,-85.0670607326191
77530062,-86.1925165972585
77535062,-85.4509594498115
77540062,-85.5792097942771
77545062,-85.5862804192472
77550062,-84.9646358956126
77555062,-84.842994678067
77560062,-85.1748001281827
77565062,-85.1420189498739
77570062,-85.3806730883599
77575062,-84.8587514408579
77580062,-85.0001970820939
77585062,-84.4037710204524
77590062,-84.2923873535734
77595062,-83.8795776446651
77600062,-84.078813994893
77605062,-84.2988374647951
77610062,-83.9515614736421
77615062,-83.4397473220505
77620062,-83.2483364111651
77625062,-83.2277038749824
77630062,-82.9674300132872
77635062,-83.0205255908329
77640062,-83.6543528085606
77645062,-83.7585227054817
77650062,-83.0469596237186
