x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-723.0000E-06,+1.0755339081E+00,+281.4855E-06,-90.6799613E-03,-33.7104650E-03
-722.5000E-06,+1.1587625504E+00,+45.1476E-06,-90.6956649E-03,-31.1979022E-03
-722.0000E-06,+1.4929334011E+00,+1.0572393E-03,-90.6956649E-03,-33.7104650E-03
-721.5000E-06,+1.4762876726E+00,+1.5456187E-03,-90.4758156E-03,-33.7104650E-03
-721.0000E-06,+1.0921796365E+00,+462.0760E-06,-90.7427754E-03,-37.0082036E-03
-720.5000E-06,+897.7700909E-03,+197.4717E-06,-90.5857402E-03,-33.7104650E-03
-720.0000E-06,+943.6243618E-03,+103.2506E-06,-90.8527000E-03,-33.7104650E-03
-719.5000E-06,+1.1647298870E+00,+323.8850E-06,-91.2138809E-03,-35.7519222E-03
-719.0000E-06,+1.1028580284E+00,-188.0496E-06,-90.9312176E-03,-33.7104650E-03
-718.5000E-06,+1.1854585300E+00,+283.8411E-06,-90.4287051E-03,-38.2644850E-03
-718.0000E-06,+1.1000313953E+00,-66.3474E-06,-90.5072226E-03,-31.8260429E-03
-717.5000E-06,+1.1697550126E+00,+580.6376E-06,-90.8055895E-03,-32.2971484E-03
-717.0000E-06,+1.0434987325E+00,-354.5069E-06,-90.5857402E-03,-36.2230277E-03
-716.5000E-06,+950.8479798E-03,-212.3901E-06,-90.2716699E-03,-31.9830780E-03
-716.0000E-06,+957.7575274E-03,-849.9529E-06,-90.6956649E-03,-36.5370981E-03
-715.5000E-06,+1.1788630527E+00,-138.5835E-06,-90.6956649E-03,-33.8675001E-03
-715.0000E-06,+1.3779836536E+00,+374.1363E-06,-90.5543332E-03,-36.8511684E-03
-714.5000E-06,+1.5259107877E+00,+1.1381124E-03,-90.6171473E-03,-33.7104650E-03
-714.0000E-06,+1.1336369225E+00,+580.6376E-06,-90.4444086E-03,-31.1979022E-03
-713.5000E-06,+1.0953203400E+00,+1.0368247E-03,-90.7741824E-03,-32.9252891E-03
-713.0000E-06,+1.0880967220E+00,+762.7984E-06,-90.6956649E-03,-36.2230277E-03
-712.5000E-06,+1.1358354150E+00,+804.4127E-06,-90.9469211E-03,-36.2230277E-03
-712.0000E-06,+1.2982097851E+00,+1.1600973E-03,-90.9469211E-03,-36.6941333E-03
-711.5000E-06,+1.1553077766E+00,+646.5923E-06,-90.5386297E-03,-36.2230277E-03
-711.0000E-06,+1.0120916977E+00,+104.8210E-06,-90.3187804E-03,-35.1237815E-03
-710.5000E-06,+1.1097675761E+00,+724.3247E-06,-90.6956649E-03,-32.1401132E-03
-710.0000E-06,+1.2039886806E+00,+595.5559E-06,-90.5072226E-03,-33.2393594E-03
-709.5000E-06,+1.2809359159E+00,+923.7594E-06,-90.6956649E-03,-31.1979022E-03
-709.0000E-06,+1.1452575254E+00,+499.7644E-06,-90.4758156E-03,-33.7104650E-03
-708.5000E-06,+1.0491519988E+00,+247.7230E-06,-90.4444086E-03,-35.5948870E-03
-708.0000E-06,+1.0657977273E+00,+333.3072E-06,-90.4758156E-03,-34.0245353E-03
-707.5000E-06,+1.1226444603E+00,+306.6112E-06,-90.0989312E-03,-35.7519222E-03
-707.0000E-06,+1.2338253637E+00,+471.4981E-06,-90.4444086E-03,-33.7104650E-03
-706.5000E-06,+1.0651695866E+00,+35.7255E-06,-90.6956649E-03,-33.7104650E-03
-706.0000E-06,+906.2499903E-03,-756.5170E-06,-90.9155141E-03,-31.5119725E-03
-705.5000E-06,+1.1512248620E+00,+298.7594E-06,-90.6485543E-03,-34.4956408E-03
-705.0000E-06,+1.2410489817E+00,+359.2180E-06,-90.1460417E-03,-36.2230277E-03
-704.5000E-06,+1.1034861691E+00,-68.7029E-06,-90.3972980E-03,-35.1237815E-03
-704.0000E-06,+928.2349147E-03,-754.9466E-06,-90.6328508E-03,-33.7104650E-03
-703.5000E-06,+1.2570665695E+00,+638.7406E-06,-90.2245593E-03,-33.7104650E-03
-703.0000E-06,+1.4552449593E+00,+1.0219064E-03,-90.4758156E-03,-33.7104650E-03
-702.5000E-06,+1.1317525004E+00,+457.3649E-06,-90.8998106E-03,-31.8260429E-03
-702.0000E-06,+980.3705925E-03,+74.9843E-06,-90.6171473E-03,-35.4378519E-03
-701.5000E-06,+1.0915514958E+00,+521.7494E-06,-90.6956649E-03,-33.7104650E-03
-701.0000E-06,+1.1427449626E+00,+364.7142E-06,-90.6956649E-03,-32.9252891E-03
-700.5000E-06,+1.2005339067E+00,+583.7783E-06,-90.3658910E-03,-31.1979022E-03
-700.0000E-06,+1.1958228515E+00,+652.8737E-06,-90.2088558E-03,-33.7104650E-03
-699.5000E-06,+1.0994032546E+00,+230.4491E-06,-90.4915191E-03,-35.9089574E-03
-699.0000E-06,+1.0987751139E+00,+576.7117E-06,-90.4444086E-03,-33.7104650E-03
-698.5000E-06,+1.2127826503E+00,+639.5257E-06,-90.9783282E-03,-34.9667464E-03
-698.0000E-06,+1.4018530001E+00,+1.4671011E-03,-90.6956649E-03,-36.2230277E-03
-697.5000E-06,+1.2259736050E+00,+738.4579E-06,-90.5543332E-03,-36.8511684E-03
-697.0000E-06,+993.5615471E-03,+553.1564E-06,-90.2088558E-03,-33.8675001E-03
-696.5000E-06,+1.0111494867E+00,+558.6526E-06,-90.2559664E-03,-34.0245353E-03
-696.0000E-06,+1.2457600369E+00,+934.7519E-06,-90.5229262E-03,-33.7104650E-03
-695.5000E-06,+1.1166771237E+00,+447.1577E-06,-90.5857402E-03,-32.6112187E-03
-695.0000E-06,+959.6419495E-03,-279.1300E-06,-90.3972980E-03,-34.8097112E-03
-694.5000E-06,+1.0111494867E+00,+533.5270E-06,-90.9469211E-03,-34.3386057E-03
-694.0000E-06,+975.9736076E-03,-982.6476E-06,-90.2873734E-03,-36.2230277E-03
-693.5000E-06,+1.1675565202E+00,+344.2996E-06,-90.6956649E-03,-31.5119725E-03
-693.0000E-06,+1.2369660672E+00,-6.6740E-06,-90.3187804E-03,-33.0823243E-03
-692.5000E-06,+1.2300565195E+00,+392.1953E-06,-90.3972980E-03,-32.7682539E-03
-692.0000E-06,+1.1920540073E+00,+214.7456E-06,-90.8684035E-03,-32.6112187E-03
-691.5000E-06,+1.1892273742E+00,+757.3021E-06,-90.6328508E-03,-31.1979022E-03
-691.0000E-06,+1.1421168219E+00,+330.1665E-06,-90.7270719E-03,-33.7104650E-03
-690.5000E-06,+1.1273555156E+00,+461.2908E-06,-90.4758156E-03,-36.5370981E-03
-690.0000E-06,+1.2482725997E+00,+1.1027795E-03,-90.3501875E-03,-30.7267966E-03
-689.5000E-06,+1.2105841579E+00,+620.6815E-06,-90.7898860E-03,-33.0823243E-03
-689.0000E-06,+1.0755339081E+00,+556.2971E-06,-90.4444086E-03,-33.7104650E-03
-688.5000E-06,+1.1452575254E+00,+904.1300E-06,-90.9626247E-03,-33.7104650E-03
-688.0000E-06,+1.0959484807E+00,+412.6099E-06,-90.4915191E-03,-35.9089574E-03
-687.5000E-06,+1.0500942099E+00,+25.5182E-06,-90.9626247E-03,-31.3549373E-03
-687.0000E-06,+1.1864007411E+00,+649.7330E-06,-90.6956649E-03,-34.1815705E-03
-686.5000E-06,+1.1590766208E+00,+314.4629E-06,-90.1931523E-03,-35.4378519E-03
-686.0000E-06,+1.0362751145E+00,-170.7758E-06,-90.1931523E-03,-36.2230277E-03
-685.5000E-06,+1.1587625504E+00,+415.7506E-06,-90.6799613E-03,-35.4378519E-03
-685.0000E-06,+1.1788630527E+00,+198.2569E-06,-90.5072226E-03,-31.8260429E-03
-684.5000E-06,+1.1411746109E+00,+265.7820E-06,-90.4444086E-03,-33.7104650E-03
-684.0000E-06,+1.1314384301E+00,+204.5383E-06,-90.2559664E-03,-31.5119725E-03
-683.5000E-06,+1.3079459659E+00,+1.0588097E-03,-90.4444086E-03,-34.9667464E-03
